id,nombre,creditos,EC1,EP1,EC2,EP2,EC3,EP3
1701102,"METODOLOGIA DEL TRABAJO INTELECTUAL UNIVERSITARIO",2,30,0,30,0,40,0
1701104,"ARTE COMPUTACIONAL",3,9,20,9,20,15,27
1701106,"FUNDAMENTOS DE COMPUTACION",4,15,15,15,15,20,20
1701107,"ESTRUCTURAS DISCRETAS I",4,18,12,18,12,24,16
1702120,"TRABAJO INTERDISCIPLINAR I",2,10,10,10,10,30,30
1702224,"ALGORITMOS Y ESTRUCTURAS DE DATOS",5,15,15,15,15,16,24
1702225,"TEORIA DE LA COMPUTACION",4,15,15,15,15,20,20
1702226,"BASE DE DATOS I",4,15,15,15,15,20,20
1702227,"ALGEBRA LINEAL NUMERICA",4,15,15,15,15,20,20
1702228,"ESTADISTICA Y PROBABILIDADES",4,7,22,7,22,11,31
1702229,"ECOLOGIA Y CONSERVACION AMBIENTAL",2,20,10,20,10,20,20
1703131,"ANALISIS Y DISEÑO DE ALGORITMOS",4,15,15,15,15,16,24
1703236,"PROGRAMACION COMPETITIVA",3,30,0,30,0,40,0
1703237,"INGENIERIA DE SOFTWARE II",4,15,15,15,15,20,20
1703238,"ESTRUCTURAS DE DATOS AVANZADOS",4,15,15,15,15,20,20
1703239,"SISTEMAS OPERATIVOS",4,15,15,15,15,20,20
1703240,"TRABAJO INTERDISCIPLINAR II",3,6,13,6,13,21,41
1703241,"MATEMATICA APLICADA A LA COMPUTACION",4,15,15,15,15,20,20
1704248,"INTERACCION HUMANO COMPUTADOR",3,20,9,20,9,27,15
1704249,"PROYECTO DE FINAL DE CARRERA I",3,6,13,6,13,21,41
1704250,"COMPUTACION PARALELA Y DISTRIBUIDA",4,15,15,15,15,20,20
1704251,"SEGURIDAD EN COMPUTACION",3,20,12,20,15,20,13
1704252,"FORMACION DE EMPRESAS DE BASE TECNOLOGICA I",3,9,20,9,20,15,27
1704253,"RELACIONES HUMANAS",2,15,15,15,15,20,20
1704254,"FISICA COMPUTACIONAL (E)",3,20,9,20,9,27,15
1704255,"TOPICOS EN INGENIERIA DE SOFTWARE (E)",3,9,20,9,20,15,27
1705265,"CLOUD COMPUTING",4,15,15,15,15,20,20
1705267,"TRABAJO INTERDISCIPLINAR III",2,15,15,15,15,20,20
1705268,"INTERNET DE LAS COSAS",3,20,9,20,9,27,15
1705269,"ROBOTICA (E)",4,15,15,15,15,20,20
1705270,"TOPICOS EN CIBERSEGURIDAD (E)",4,15,15,15,15,20,20
1705271,"PRACTICAS PRE PROFESIONALES",2,30,0,30,0,40,0
1705272,"TRABAJO DE INVESTIGACION",6,5,10,10,10,15,50
2501207,"ESTRUCTURAS DISCRETAS II",5,6,26,6,26,8,28
2501208,"PROGRAMACION I",5,13,20,13,20,14,20
2501209,"CALCULO EN UNA VARIABLE",5,6,26,6,26,8,28
2501210,"INGLES II",3,9,20,9,20,15,27
2501211,"LINGUISTICA, COMPRENSION Y REDACCION ACADEMICA",3,20,10,25,10,25,10
2501212,"REALIDAD NACIONAL",2,20,10,25,10,25,10
