grupo_id,curso_id,profesor_codigo,grupo,capacidad,tipo,dia,hora_inicio,hora_fin,id_Aula
2501209A,2501209,00000052,A,40,TEORIA,LUNES,08:50:00,10:30:00,201
2501209A,2501209,00000052,A,40,TEORIA,MARTES,08:50:00,10:30:00,201
2501209A,2501209,00000052,A,40,TEORIA,JUEVES,10:40:00,12:20:00,201
2501209B,2501209,00000053,B,40,TEORIA,MARTES,12:20:00,14:00:00,201
2501209B,2501209,00000053,B,40,TEORIA,MIERCOLES,15:50:00,17:30:00,201
2501209B,2501209,00000053,B,40,TEORIA,VIERNES,15:50:00,17:30:00,201
2501210A,2501210,00000055,A,40,TEORIA,LUNES,10:40:00,12:20:00,201
2501210A,2501210,00000055,A,40,TEORIA,JUEVES,8:50:00,10:30:00,201
2501210B,2501210,00000056,B,40,TEORIA,VIERNES,12:20:00,14:00:00,201
2501210B,2501210,00000056,B,40,TEORIA,VIERNES,17:40:00,19:20:00,201
2501207A,2501207,00000035,A,40,TEORIA,LUNES,12:20:00,14:00:00,201
2501207A,2501207,00000035,A,40,TEORIA,MIERCOLES,12:20:00,14:00:00,201
2501207A,2501207,00000035,A,40,TEORIA,JUEVES,12:20:00,14:00:00,201
2501207B,2501207,00000035,B,40,TEORIA,LUNES,14:00:00,15:40:00,201
2501207B,2501207,00000035,B,40,TEORIA,MIERCOLES,14:00:00,15:40:00,201
2501207B,2501207,00000035,B,40,TEORIA,JUEVES,14:00:00,15:40:00,201
2501212B,2501212,00000038,B,40,TEORIA,MARTES,16:40:00,19:20:00,201
2501212A,2501212,00000038,A,40,TEORIA,MIERCOLES,7:00:00,9:40:00,201
2501208B,2501208,00000051,B,40,TEORIA,LUNES,15:50:00,17:30:00,201
L2501208C,2501208,00000051,C,20,LABORATORIO,LUNES,17:40:00,19:20:00,901
2501208A,2501208,00000051,A,40,TEORIA,MARTES,7:00:00,8:40:00,201
L2501208A,2501208,00000051,A,20,LABORATORIO,MARTES,11:30:00,13:10:00,902
L2501208B,2501208,00000051,B,20,LABORATORIO,MIERCOLES,17:40:00,19:20:00,901
2501208B,2501208,00000051,B,40,TEORIA,JUEVES,15:50:00,17:30:00,201
L2501208B,2501208,00000051,B,20,LABORATORIO,JUEVES,17:40:00,19:20:00,901
L2501208C,2501208,00000051,C,20,LABORATORIO,JUEVES,17:40:00,19:20:00,902
2501208A,2501208,00000051,A,40,TEORIA,VIERNES,8:50:00,10:30:00,201
2501211A,2501211,00000057,A,40,TEORIA,MIERCOLES,9:40:00,12:20:00,201
2501211A,2501211,00000057,A,40,TEORIA,VIERNES,7:00:00,8:40:00,201
2501211B,2501211,00000058,B,40,TEORIA,MARTES,14:00:00,16:40:00,201
2501211B,2501211,00000058,B,40,TEORIA,VIERNES,14:00:00,15:40:00,201
